old,new
桟橋通三丁目２８番１９号,桟橋通三丁目２８番２０号
桟橋通三丁目３４番１３－１０５号,桟橋通三丁目３２番２６－１０５号
百石町二丁目１４番５号,百石町二丁目１５番１２号
百石町二丁目２６番３１号,北竹島町１番５号
百石町二丁目３１番２４号,百石町二丁目２７番２１号
百石町三丁目１番１０号,百石町三丁目１番５号
百石町三丁目１０番２０号,百石町二丁目３３番２９号
百石町四丁目１８番１号,百石町四丁目１８番１号
百石町四丁目２１番８号,百石町四丁目２１番８号
百石町四丁目２３番３１号,百石町四丁目２３番２０号
北竹島町１８１番地１,北竹島町５番１９号
北本町一丁目１０番１号,北本町二丁目１０番１号
北本町二丁目７番１２号,北本町二丁目８番２１号
栄田町１番１０－１号,栄田町一丁目５番１２号
栄田町１番１０－１－５０４号,栄田町一丁目５番１２－５０４号
栄田町１番２６号,栄田町一丁目６番３４号
栄田町１０番１１号,栄田町三丁目９番３号
新本町一丁目１番１号,新本町一丁目１番１号
新本町一丁目６番４号,新本町一丁目６番１８号
新本町二丁目１番５号,新本町二丁目１番５号
新本町二丁目４番７号,新本町二丁目６番２７号
比島町一丁目１番２号,比島町一丁目７番２５号
比島町一丁目７番３８号,比島町一丁目９番３０号
比島町一丁目９番３１号,比島町一丁目１２番２８号
南金田３番地,南金田２番２号
南金田３８番地１,南金田３番５７－７号
南金田５５番地４,南金田３番４７－３号
南金田６１番地７,南金田８番７－７０３号
南金田７５番地４,南金田８番２１号
南金田８０番地１１,南金田１７番１９号
北金田２番地８,南金田１番２８号
北金田５５番地,北金田１番１２号
北金田７６番地４,北金田６番６号
北金田８６番地９,北金田１５番２６号
北金田８９番地１７,北金田１２番１７号
杉井流２番地２,杉井流２番３号
杉井流３１番地４,杉井流４番８号
杉井流７０番地３,杉井流２１番１３号
杉井流８８番地９,杉井流２３番２６号
杉井流１０１番地１,杉井流１８番１５号
高埇１番地１,杉井流８番１号
高埇２２番地２,高埇３番８号
高埇７８番地１,杉井流９番２１号
高埇１０９番地４,高埇２０番３３号
北川添１番地１,北川添１番２５号
北川添６番地２,北川添４番８－１００１号
北川添１１番地１,北川添５番２０－４０９号
北川添１１番地１,北川添５番２０－８０４号
北川添３１番地６,北川添１９番１５号
北川添４８番地１９,北川添２２番８号
南川添１番地１,北御座３番３０号
南川添７番地１,南川添４番１５号
南川添４５番地１３,南川添１４番２８号
南川添５２番地１１,南川添１７番１号
北御座１番地１,南御座２０番１８号
北御座３５番地１,北御座１０番２６－７０１号
北御座４７番地１０,北御座１１番３４号
南御座２番地,南御座１番１６号
南御座２６番地１,南御座８番２７号
南御座２９番地１,南御座８番４０－５０４号
南御座４０番地９,南御座９番４８号
南御座６７番地１,南御座４番５号
南御座７１番地１,南御座５番３４－１００２号
札場１番地１,札場１番２８号
札場２５番地４,札場９番２９号
札場４３番地１１,札場１７番１９号
海老ノ丸３番地,海老ノ丸１番１号
南久保１番地１,南久保１番２１号
南久保８２番地,南久保６番３６号
南久保１３２番地,南久保１５番４６号
北久保２番地,北久保１番１号
北久保２９番地５,北久保３番２５－２０５号
北久保２９番地５,北久保３番２５－９０２号
北久保３２番地１,北久保５番１０－５０５号
北久保３９番地,北久保６番１号
薊野１２番地３,一宮南町一丁目１１番１８号
一宮１１番地４,一宮南町一丁目１０番２６号
一宮１６番地,一宮南町一丁目１１番２４－４０２号
一宮１１７番地１,一宮西町一丁目１１番１０－１号
一宮１９４番地,一宮西町一丁目１４番１号
一宮２００番地４８,一宮西町一丁目１６番２号
一宮２３５番地４,一宮西町一丁目４０番２７号
一宮２８０番地６,一宮西町一丁目３５番１６号
一宮３２６番地４,一宮西町一丁目３１番１号
一宮３３０番地,一宮西町一丁目３２番２４－１号
一宮３６９番地６,一宮西町一丁目２６番５号
一宮３９９番地５,一宮西町一丁目７番７号
一宮４４７番地,一宮西町二丁目２番５１号
一宮４８９番地６,一宮西町二丁目１２番３１号
一宮５２０番地１,一宮西町二丁目１３番１７号
一宮５５５番地１,一宮西町二丁目２２番１２－２号
一宮５５５番地２,一宮西町二丁目２３番１０－２４号
一宮９３８番地,一宮西町四丁目１番６号
一宮９５７番地１,一宮西町三丁目８番１５号
一宮９９３番地１,一宮西町三丁目１１番２５号
一宮１０３５番地３,一宮西町三丁目９番５号
一宮１０７０番地,一宮西町三丁目１番３６号
一宮１０９０番地６,一宮中町一丁目６番２３号
一宮１１０１番地１,一宮中町一丁目５番２２号
一宮１１１９番地,一宮中町一丁目３番５５号
一宮１１３６番地６,一宮中町一丁目１０番２１号
一宮１１４５番地３,一宮中町一丁目１１番７号
一宮１１７３番地２２,一宮中町一丁目１３番３０号
一宮１１９０番地１,一宮中町一丁目１６番２号
一宮１２０４番地１１,一宮中町二丁目１３番１３号
一宮１２２２番地１５,一宮中町一丁目１９番２８号
一宮１２４３番地２,一宮中町一丁目２１番４号
一宮１２７２番地９,一宮中町三丁目８番２９号
一宮１２８８番地,一宮中町三丁目７番８号
一宮１３５２番地１,一宮中町二丁目１８番２３号
一宮１３６７番地１,一宮中町二丁目１４番１５号
一宮１３７４番地５,一宮中町二丁目１０番１９号
一宮１３８４番地,一宮中町二丁目９番９号
一宮１４０４番地１,一宮中町二丁目７番１８号
一宮１４２６番地１０,一宮東町一丁目１５番２８号
一宮１４４７番地１６,一宮徳谷１１番１７号
一宮１４７７番地６,一宮東町一丁目２７番１９号
一宮１５１９番地１５,一宮東町一丁目２３番８号
一宮１５３８番地,一宮徳谷１７番１２号
一宮１５９６番地１,一宮東町一丁目２１番１７号
一宮１６３３番地１,一宮中町三丁目１３番６０号
一宮１６５１番地１３,一宮中町三丁目１４番８号
一宮１６９５番地,一宮中町三丁目１９番２０－１号
一宮１７２３番地,一宮中町三丁目２３番３号
一宮１７８４番地,一宮しなね一丁目４番２２号
一宮１８１２番地,一宮中町三丁目１１番３６号
一宮１８４３番地３,一宮西町三丁目２９番４６号
一宮１８６９番地２,一宮西町三丁目１６番３－１号
一宮１９０４番地,一宮西町二丁目１１番２２号
一宮２０００番地,一宮西町四丁目１３番２４号
一宮２０３５番地３,一宮しなね一丁目２２番４９号
一宮２０６０番地１,一宮西町四丁目１９番２０号
一宮２０６５番地３２,一宮西町四丁目２２番３２号
一宮２０８９番地１４,一宮西町四丁目２３番１０号
一宮２１２７番地６,一宮しなね一丁目２０番１号
一宮２１５６番地９,一宮しなね一丁目１７番２２号
一宮２１８８番地１,一宮しなね一丁目７番１号
一宮２２１９番地,一宮しなね二丁目５番１９号
一宮２２４１番地,一宮しなね二丁目８番８号
一宮２４９１番地,一宮しなね二丁目１２番６－２号
一宮２５２０番地１,一宮しなね二丁目１９番３４号
一宮２５４２番地４,一宮東町五丁目６番３７－２０４号
一宮２５４２番地９,一宮東町五丁目６番２７号
一宮２５４８番地５,一宮東町五丁目１０番１－６０５号
一宮２５６３番地８,一宮東町五丁目１１番１４号
一宮２５７３番地１０,一宮東町五丁目２２番３３号
一宮２５７７番地８０,一宮東町五丁目２１番８号
一宮２６１６番地５,一宮東町五丁目２７番１１号
一宮２７５８番地７,一宮東町五丁目３３番７号
一宮２７７０番地９,一宮東町五丁目２７番１６号
一宮２７８７番地１３,一宮東町五丁目３０番１５号
一宮２８３９番地１４,一宮東町五丁目１７番１４号
