  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須３２番地            高須新木３番３０号

高須５１番地            高須新木１番１５号

高須４０４番地３          高須本町１番２７号

高須４０４番地３          高須本町１番２８号

高須４０５番地２          高須本町１番２６号

高須４０６番地１          高須本町１番２４号

高須４０８番地２          高須本町１番２１号

高須４０９番地１          高須本町２番５７号

高須４１０番地１          高須本町２番５４号

高須４１０番地２          高須本町２番５５号

高須４１２番地２          高須本町２番５３号

高須４１５番地           高須本町２番５２号

高須４１６番地１          高須本町２番５０号

高須４１６番地６          高須本町２番４９号

高須４１８番地           高須本町２番４７号

高須４１８番地２          高須本町２番４７号

高須４２１番地           高須本町２番４６号

高須４２３番地           高須本町２番４５号

高須４２５番地           高須本町２番４３号

高須４２６番地１          高須本町２番４４号

高須４２９番地１          高須本町２番４１－２号

高須４２９番地２          高須本町２番４１－３号

高須４３２番地           高須本町２番４０－１号

高須４３３番地           高須本町２番３９号

高須４３４番地３          高須本町２番３５号

高須４３４番地３          高須本町２番３６号

高須４３４番地５          高須本町２番３８－１号

高須４３４番地８          高須本町２番３６号

高須４３５番地１          高須本町２番３１号

高須４３６番地           高須本町２番３０号

高須４３６番地３          高須本町２番３７号

高須４３６番地４          高須本町２番２９号

高須４３６番地８          高須本町２番２８号

高須４３７番地           高須本町２番４０－１号

高須４３７番地           高須本町２番４０－５号

高須４３７番地３          高須本町２番３８－５号

高須４４０番地           高須本町２番２６号

高須４４０番地           高須本町２番２７号

高須４４７番地           高須本町２番２５号


              1
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須４４９番地１          高須本町１２番１５号

高須４４９番地１          高須本町１２番１８号

高須４５０番地           高須本町１２番１４号

高須４５１番地           高須本町１２番１２号

高須４５１番地１          高須本町１２番１１号

高須４５２番地           高須本町１２番９号

高須４５４番地           高須本町１２番７号

高須４５４番地１          高須本町１２番７号

高須４５５番地           高須本町１２番５号

高須４５６番地           高須本町１２番１号

高須４５７番地           高須本町４番３７号

高須４５７番地           高須本町４番３８号

高須４５８番地           高須本町３番５号

高須４５８番地２          高須本町３番２号

高須４５９番地           高須本町３番２８号

高須４５９番地           高須本町３番２９号

高須４５９番地           高須本町３番３１号

高須４６０，４６１番地       高須本町４番３６号

高須４６２番地２          高須本町４番３５号

高須４６３番地           高須本町３番８号

高須４６３番地           高須本町３番２６号

高須４６４番地１          高須本町４番３４号

高須４６４番地２          高須本町４番３２号

高須４６４番地２          高須本町４番３３号

高須４６４番地３          高須本町４番３１号

高須４６５番地           高須本町４番２９号

高須４６５番地           高須本町４番３０号

高須４６６番地           高須本町４番２７号

高須４６６番地           高須本町４番２８－２号

高須４６７番地           高須本町３番１９号

高須４６７番地           高須本町３番２０号

高須４６７番地２          高須本町３番２５号

高須４６７番地４          高須本町３番２２号

高須４６７番地８          高須本町３番２１号

高須４６８番地           高須本町４番２４号

高須４６８番地           高須本町４番２５号

高須４６８番地           高須本町４番２８－３号

高須４６８番地１          高須本町４番２３号

高須４６８番地３          高須本町４番２６号


              2
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須４７３番地           高須本町４番１９号

高須４７５番地           高須本町４番１５号

高須４７６番地１          高須本町４番１２号

高須４７６番地５          高須本町４番１１号

高須４７７番地           高須本町４番５号

高須４７８番地１          高須本町５番３５号

高須４７８番地２          高須本町５番３４号

高須４７９番地           高須本町５番３３号

高須４８１番地２          高須本町５番３２号

高須４８２番地           高須本町５番３１－３号

高須４８３番地           高須本町５番３１－５号

高須４８４番地           高須本町５番３１－６号

高須４８４番地           高須本町５番３１－７号

高須４８５番地           高須本町５番２９号

高須４８５番地５          高須本町５番３１－８号

高須４８８番地１          高須本町５番２６－１号

高須４８８番地１          高須本町５番２６－２号

高須４８８番地２          高須本町５番２７号

高須４８８番地２          高須本町５番２８号

高須４８９番地           高須本町５番２５号

高須４９０番地           高須本町５番２３号

高須４９０番地２          高須本町５番２４号

高須４９２番地           高須本町５番２２号

高須４９３番地           高須本町５番１９号

高須４９４番地１          高須本町５番１７号

高須４９５番地           高須本町５番２号

高須４９５番地           高須本町６番１２号

高須４９５番地５          高須本町６番１０号

高須５００番地１０         高須本町９番１９号

高須５０２番地           高須本町１１番１２号

高須５０２番地１１         高須本町１０番１０号

高須５０２番地１２         高須本町１０番１６号

高須５０２番地１５         高須本町１１番１１号

高須５０２番地１７         高須本町１１番６号

高須５０２番地１８         高須本町１１番７号

高須５０２番地１９         高須本町１１番８号

高須５０２番地２３         高須本町１１番９号

高須５０２番地２３         高須本町１２番１０号

高須５０２番地２５         高須本町１１番１０号


              3
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須５０２番地２７         高須本町１０番１１号

高須５０２番地３３         高須本町１０番１５号

高須５０２番地３４         高須本町１０番１４号

高須５０２番地３６         高須本町１０番１３号

高須５０２番地３８         高須本町１０番１２号

高須５０３番地           高須本町１３番１５号

高須５０３番地４          高須本町８番１８号

高須５０３番地８          高須本町９番６号

高須５０３番地１３         高須本町１０番６号

高須５０３番地１５         高須本町１０番７号

高須５０３番地２１         高須本町９番２６号

高須５０３番地２４         高須本町１０番５号

高須５０３番地２７         高須本町１０番３号

高須５０３番地３１         高須本町９番２０号

高須５０３番地４５         高須本町９番２５号

高須５０３番地４６         高須本町９番２４号

高須５０３番地４８         高須本町９番２３号

高須５０３番地４９         高須本町９番２２号

高須５０３番地５２         高須本町９番８号

高須５０４番地４          高須本町７番５号

高須５０４番地５          高須本町７番２７号

高須５０４番地８          高須本町８番１１号

高須５０４番地９          高須本町８番３号

高須５０４番地１０         高須本町８番５号

高須５０４番地１７         高須本町７番２８号

高須５０４番地２１         高須本町８番１６号

高須５０４番地２３         高須本町８番１２号

高須５０４番地２５         高須本町８番１５号

高須５０４番地２７         高須本町８番６号

高須５０４番地２８         高須本町８番８号

高須５０４番地３７         高須本町７番１６号

高須５０４番地３８         高須本町７番１５号

高須５０４番地３９         高須本町７番２５号

高須５０４番地４０         高須本町８番１０号

高須５０４番地４１         高須本町７番１８号

高須５０４番地４２         高須本町７番１９号

高須５０４番地４３         高須本町７番２０号

高須５０４番地４４         高須本町７番２１号

高須５０４番地５１         高須本町７番２４号


              4
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須５０４番地５６         高須本町７番２６号

高須５０５番地１          高須本町７番１０号

高須５０５番地４          高須本町７番１４号

高須５０５番地９          高須本町７番１２号

高須５０５番地１５         高須本町７番１３号

