        仁井田地区

住居表示対照表 （旧新）

（平成８年２月１日住居表示実施）




       旧表示           ページ

 にいだ
 仁井田         ・ ・ ・    1
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２２３８番地１        十津六丁目２番７号

仁井田２２４７番地１        十津六丁目１番３２号

仁井田２２４７番地１        十津六丁目２番１０号

仁井田２２４８番地         十津六丁目２番２３号

仁井田２２４８番地         十津六丁目２番２５号

仁井田２２４９番地         十津六丁目２番３２号

仁井田２２５２番地２        十津六丁目３番１号

仁井田２２７２番地１        十津五丁目１番１号

仁井田２２７２番地１        十津五丁目２番１号

仁井田２２７２番地１        十津五丁目２番１３号

仁井田２２７２番地１        十津五丁目３番１号

仁井田２２７２番地１        十津五丁目４番１号

仁井田２２７２番地１        十津五丁目４番３号

仁井田２２７２番地１        十津五丁目５番１号

仁井田２２７２番地１        十津五丁目５番２号

仁井田２２７２番地１        十津五丁目５番３号

仁井田２２７２番地１        十津五丁目６番１号

仁井田２２７２番地１        十津五丁目６番２号

仁井田２２７２番地１        十津五丁目７番１号

仁井田２２７２番地１        十津五丁目７番２号

仁井田２２７２番地３        十津六丁目３番１０号

仁井田２２７２番地５        十津五丁目６番１号

仁井田２２７２番地５        十津五丁目６番２号

仁井田２３００番地１        十津六丁目１番１９号

仁井田２３０６番地１        十津二丁目１４番２０号

仁井田２３０９番地         十津二丁目１３番２４号

仁井田２３１６番地６        十津二丁目３番１２号

仁井田２３１６番地１０       十津三丁目２番１６号

仁井田２３１８番地         十津二丁目４番８号

仁井田２３１８番地         十津二丁目４番１０号

仁井田２３１８番地５        十津二丁目３番１０号

仁井田２３１８番地１３       十津二丁目４番３号

仁井田２３１８番地１６       十津二丁目４番７号

仁井田２３２１番地         十津三丁目２番１８号

仁井田２３２４番地         十津二丁目３番７号

仁井田２３２９番地         十津三丁目４番２号

仁井田２３２９番地１        十津三丁目４番３号

仁井田２３３０番地４        十津三丁目４番３４号

仁井田２３３３番地１        十津三丁目４番２１－５号


              1
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２３３３番地３        十津三丁目４番２１号

仁井田２３３３番地５        十津三丁目４番２０－７号

仁井田２３３３番地６        十津三丁目４番２１－６号

仁井田２３３３番地７        十津三丁目４番２１－２号

仁井田２３３３番地８        十津三丁目４番２１－１号

仁井田２３３３番地９        十津三丁目４番２１－３号

仁井田２３３３番地１０       十津三丁目４番２１－４号

仁井田２３３３番地１７       十津三丁目２１番２号

仁井田２３３９番地２        十津三丁目４番１０号

仁井田２３３９番地３        十津三丁目４番１１号

仁井田２３３９番地５        十津三丁目４番１２号

仁井田２３３９番地６        十津三丁目４番１４号

仁井田２３３９番地７        十津三丁目４番１７号

仁井田２３３９番地９        十津三丁目４番１５号

仁井田２３３９番地１０       十津三丁目４番１６号

仁井田２３４０番地５        十津三丁目５番２１－７号

仁井田２３４０番地６        十津三丁目５番２１－６号

仁井田２３４０番地８        十津三丁目５番２１－５号

仁井田２３４０番地１０       十津三丁目５番２１－３号

仁井田２３４０番地１９       十津三丁目５番２１－４号

仁井田２３４１番地１        十津三丁目５番２号

仁井田２３４１番地２        十津三丁目５番３号

仁井田２３４２番地１        十津三丁目５番６号

仁井田２３４４番地４        十津三丁目５番１１号

仁井田２３４４番地５        十津三丁目５番１２号

仁井田２３４４番地６        十津三丁目５番１３号

仁井田２３４４番地７        十津三丁目５番１４号

仁井田２３４４番地８        十津三丁目５番１５号

仁井田２３４４番地９        十津三丁目６番３７号

仁井田２３４４番地１０       十津三丁目６番３８号

仁井田２３４４番地１１       十津三丁目６番３９号

仁井田２３４４番地１２       十津三丁目６番４０号

仁井田２３４４番地１３       十津三丁目６番４１号

仁井田２３４４番地１４       十津三丁目６番４３号

仁井田２３４４番地１５       十津三丁目６番１号

仁井田２３４４番地１８       十津三丁目６番３３号

仁井田２３４４番地１９       十津三丁目５番１９号

仁井田２３４４番地２０       十津三丁目５番１８号

仁井田２３４４番地２３       十津三丁目６番３４号


              2
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２３４４番地２５       十津三丁目５番１６号

仁井田２３４４番地２６       十津三丁目６番３６号

仁井田２３４４番地２７       十津三丁目５番１７号

仁井田２３４５番地２        十津三丁目６番３１号

仁井田２３４５番地３        十津三丁目６番５－１号

仁井田２３４５番地３        十津三丁目６番５－２号

仁井田２３４５番地５        十津三丁目６番３２号

仁井田２３４７番地１        十津三丁目６番２８号

仁井田２３４８番地７        十津三丁目６番６号

仁井田２３４９番地２        十津三丁目６番２６－１号

仁井田２３５３番地２        十津三丁目６番２４－７号

仁井田２３５３番地３        十津三丁目６番２４－６号

仁井田２３５３番地４        十津三丁目６番２４－１号

仁井田２３５３番地５        十津三丁目６番２４－２号

仁井田２３５３番地６        十津三丁目６番２４－４号

仁井田２３５３番地７        十津三丁目６番２４－５号

仁井田２３５９番地         十津三丁目７番５０－４号

仁井田２３５９番地１        十津三丁目７番５０－５号

仁井田２３５９番地５        十津三丁目７番８号

仁井田２３５９番地８        十津三丁目７番７－１号

仁井田２３５９番地９        十津三丁目７番１０号

仁井田２３５９番地１０       十津三丁目７番９号

仁井田２３５９番地１１       十津三丁目７番１１号

仁井田２３５９番地１３       十津三丁目７番１２号

仁井田２３５９番地１５       十津三丁目７番５号

仁井田２３５９番地１６       十津三丁目７番７－２号

仁井田２３６０番地１        十津三丁目７番４８号

仁井田２３６０番地１        十津三丁目７番５０－３号

仁井田２３６３番地         十津三丁目７番４９号

仁井田２３６３番地         十津三丁目７番５０－１号

仁井田２３６３番地         十津三丁目７番５０－２号

仁井田２３６４番地         十津三丁目７番４８号

