   朝倉地区（平成５年）

住居表示対照表 （旧新）

（平成５年９月１日住居表示実施）




          旧表示           ページ

 あさくらこう
 朝倉甲            ・ ・ ・    1
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲３４５番地１            朝倉南町９番１２号

朝倉甲３５０番地６            朝倉南町９番１８号

朝倉甲３５１番地３            朝倉南町２番２７号

朝倉甲３５６番地             朝倉南町２番５号

朝倉甲３５６番地６            朝倉南町２番１号

朝倉甲３５６番地８            朝倉南町２番９号

朝倉甲３５６番地９            朝倉南町２番８号

朝倉甲３５７番地４            朝倉南町１番１７号

朝倉甲３５７番地６            朝倉南町１番２１号

朝倉甲３５７番地８            朝倉南町１番１５号

朝倉甲３５７番地９            朝倉南町１番１２号

朝倉甲３５８番地３            朝倉南町１番９号

朝倉甲４０３番地１            朝倉横町２０番２７号

朝倉甲４１０番地１            朝倉横町２３番２７号

朝倉甲４１８番地１            朝倉南町４番２８号

朝倉甲４１８番地４            朝倉南町４番２５号

朝倉甲４２０番地１            朝倉南町５番３０号

朝倉甲４２０番地１            朝倉南町５番３４号

朝倉甲４２２番地５            朝倉南町４番１８－１号

朝倉甲４２２番地６            朝倉南町４番１８－２号

朝倉甲４２２番地７            朝倉南町４番１８－３号

朝倉甲４２２番地８            朝倉南町４番１８－４号

朝倉甲４２３番地５            朝倉南町４番１７－１号

朝倉甲４２４番地５            朝倉南町４番４７－１０号

朝倉甲４２４番地７            朝倉南町４番４７－８号

朝倉甲４２４番地９            朝倉南町４番４７－５号

朝倉甲４２４番地１１           朝倉南町４番４７－６号

朝倉甲４２５番地３            朝倉南町４番４７－１４号

朝倉甲４２５番地４            朝倉南町４番４７－１６号

朝倉甲４２５番地５            朝倉南町４番４７－１８号

朝倉甲４２５番地７            朝倉南町４番４７－２２号

朝倉甲４２５番地９            朝倉南町４番４７－１９号

朝倉甲４２５番地１０           朝倉南町４番４７－１７号

朝倉甲４２５番地１１           朝倉南町４番４７－２３号

朝倉甲４２５番地１３           朝倉南町４番４７－２０号

朝倉甲４２６番地             朝倉南町４番５号

朝倉甲４２６番地３            朝倉南町４番１号

朝倉甲４２６番地３            朝倉南町４番３号

朝倉甲４２６番地１０           朝倉南町４番８号


                 1
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲４２６番地１１           朝倉南町４番１０号

朝倉甲４２８番地             朝倉南町３番４５－６号

朝倉甲４２８番地１            朝倉南町３番４５－３号

朝倉甲４２８番地５            朝倉南町３番４６－１号

朝倉甲４２８番地７            朝倉南町３番４６－４号

朝倉甲４２８番地９            朝倉南町３番４６－５号

朝倉甲４２８番地１１           朝倉南町３番４６－６号

朝倉甲４２８番地１１           朝倉南町３番４６－７号

朝倉甲４２８番地１３           朝倉南町３番４６－８号

朝倉甲４２８番地１９           朝倉南町３番４５－１３号

朝倉甲４２８番地２１           朝倉南町３番４５－１２号

朝倉甲４２８番地２３           朝倉南町３番４５－１１号

朝倉甲４２８番地２５           朝倉南町３番４５－９号

朝倉甲４２８番地２５           朝倉南町３番４５－１０号

朝倉甲４２８番地２７           朝倉南町３番４５－８号

朝倉甲４２８番地２９           朝倉南町３番４５－７号

朝倉甲４２８番地３５           朝倉南町３番４５－５号

朝倉甲４２８番地３８           朝倉南町３番４５－１号

朝倉甲４２８番地４４           朝倉南町３番４５－１４号

朝倉甲４２８番地５０           朝倉南町３番４６－２号

朝倉甲４２８番地５１           朝倉南町３番４６－３号

朝倉甲４２９番地９            朝倉南町３番４６－５号

朝倉甲４３０番地３            朝倉南町３番４７－８号

朝倉甲４３０番地９            朝倉南町３番４８－１０号

朝倉甲４３０番地１１           朝倉南町３番４８－１１号

朝倉甲４３０番地１２           朝倉南町３番４７－７号

朝倉甲４３０番地１６           朝倉南町３番４７－４号

朝倉甲４３０番地１８           朝倉南町３番４７－６号

朝倉甲４３０番地２０           朝倉南町３番４７－５号

朝倉甲４３２番地１            朝倉南町３番２４号

朝倉甲４３２番地１            朝倉南町３番４８－３号

朝倉甲４３２番地３            朝倉南町３番４８－１号

朝倉甲４３３番地３            朝倉南町３番５１－１１号

朝倉甲４３３番地４            朝倉南町３番５１－７号

朝倉甲４３３番地５            朝倉南町３番５１－１０号

