   朝倉地区（平成３年）

住居表示対照表 （旧新）

（平成３年５月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊６３１番地            槙山町３番１９号

朝倉戊６３５番地            槙山町３番２０号

朝倉戊６３６番地１           槙山町３番２４号

朝倉戊６３６番地２           槙山町３番２４号

朝倉戊６３９番地            槙山町３番２５号

朝倉戊６４０番地１           槙山町３番２６号

朝倉戊６４５番地            槙山町２番４号

朝倉戊６４７番地１           槙山町３番５号

朝倉戊６５１番地１           槙山町２番６号

朝倉戊６５２番地            槙山町２番６号

朝倉戊６７０番地１           槙山町１番７号

朝倉戊６７１番地１           槙山町１番２４号

朝倉戊６７１番地１           槙山町１番２５号

朝倉戊６７１番地４           槙山町１番９－４号

朝倉戊６７１番地９           槙山町１番９－６号

朝倉戊６７１番地１０          槙山町１番９－９号

朝倉戊６７１番地１１          槙山町１番９－１号

朝倉戊６７１番地１２          槙山町１番９－８号

朝倉戊６７１番地１３          槙山町１番９－７号

朝倉戊６７１番地１４          槙山町１番２５号

朝倉戊６７１番地１５          槙山町１番９－３号

朝倉戊６７１番地１６          槙山町１番９－２号

朝倉戊６７２番地１           槙山町１番２１号

朝倉戊６７２番地４           槙山町１番１８号

朝倉戊６７３番地１           槙山町６番４号

朝倉戊６７３番地５           槙山町５番２２号

朝倉戊６７３番地８           槙山町４番９号

朝倉戊６７３番地１４          槙山町５番１号

朝倉戊６７３番地１５          槙山町５番３号

朝倉戊６７３番地１６          槙山町４番１１号

朝倉戊６７３番地１７          槙山町４番１号

朝倉戊６７３番地１８          槙山町４番８号

朝倉戊６７３番地１９          槙山町４番４号

朝倉戊６７３番地２０          槙山町６番１号

朝倉戊６７３番地２１          槙山町６番５号

朝倉戊６７３番地２２          槙山町６番６号

朝倉戊６７３番地２３          槙山町６番７号

朝倉戊６７３番地２４          槙山町６番８号

朝倉戊６７３番地２５          槙山町６番９号


                1
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊６７３番地２６          槙山町６番１０号

朝倉戊６７３番地２７          槙山町６番１１号

朝倉戊６８１番地１           槙山町１１番１号

朝倉戊６８２番地４           槙山町７番２号

朝倉戊６８２番地６           槙山町７番３号

朝倉戊６８２番地７           槙山町７番４号

朝倉戊６８２番地８           槙山町７番５号

朝倉戊６８２番地９           槙山町７番６号

朝倉戊６８２番地１０          槙山町７番７号

朝倉戊６８２番地１１          槙山町７番８号

朝倉戊６８３番地１０          槙山町５番１９号

朝倉戊６８３番地１１          槙山町５番１８号

朝倉戊６８３番地１２          槙山町５番１６号

朝倉戊６８８番地１           槙山町９番１５号

朝倉戊６８８番地７           槙山町９番１２号

朝倉戊６８８番地８           槙山町９番１７号

朝倉戊６８８番地９           槙山町９番１４号

朝倉戊６８８番地１０          槙山町９番１６号

朝倉戊６９１番地２           槙山町１０番５号

朝倉戊６９９番地            槙山町１０番６号

朝倉戊７００番地            槙山町１０番７号

朝倉戊７０４番地            槙山町１０番８号

朝倉戊７０６番地            槙山町１０番２４号

朝倉戊７１１番地            槙山町１０番１３号

朝倉戊７１６番地            槙山町１０番２７号

朝倉戊７１９番地            槙山町１０番３０号

朝倉戊７２１番地            槙山町１０番２９号

朝倉戊７２２番地            槙山町１０番３３号

朝倉戊７７３番地２           槙山町１２番３号

朝倉戊７７５番地１           槙山町１２番７－３号

朝倉戊７７５番地１           槙山町１２番４０号

朝倉戊７７７番地１           槙山町１２番７－８号

朝倉戊７８５番地１           槙山町１３番５号

朝倉戊７９０番地１           槙山町１３番１０号

朝倉戊７９０番地３           槙山町１２番１７号

朝倉戊７９０番地４           槙山町１２番１６号

朝倉戊７９０番地５           槙山町１２番１５号

朝倉戊７９０番地６           槙山町１２番１３号

朝倉戊７９０番地７           槙山町１２番１３号


                2
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊７９０番地７           槙山町１３番１０号

朝倉戊７９９番地１           槙山町１２番７－１７号

朝倉戊７９９番地３           槙山町１２番７－１５号

朝倉戊８０６番地１           槙山町１２番２４号

朝倉戊８０６番地１           槙山町１２番２６号

朝倉戊８０６番地３           槙山町１２番２４号

朝倉戊８５０番地            槙山町１１番１２号

朝倉戊１０６８番地１３         針木東町１番１８号

朝倉戊１０６９番地２          針木東町１番２６号

朝倉戊１０６９番地５          針木東町１番２３号

朝倉戊１０９０番地１          針木東町７番３－１０１号

朝倉戊１０９０番地１          針木東町７番３－１０２号

朝倉戊１０９０番地１          針木東町７番３－１０３号

朝倉戊１０９０番地１          針木東町７番３－１０４号

朝倉戊１０９０番地１          針木東町７番３－１０５号

朝倉戊１０９０番地１          針木東町７番３－１０６号

朝倉戊１０９０番地１          針木東町７番３－１０７号

朝倉戊１０９０番地１          針木東町７番３－１０８号

朝倉戊１０９０番地１          針木東町７番３－２０１号

朝倉戊１０９０番地１          針木東町７番３－２０２号

朝倉戊１０９０番地１          針木東町７番３－２０３号

朝倉戊１０９０番地１          針木東町７番３－２０４号

朝倉戊１０９０番地１          針木東町７番３－２０５号

朝倉戊１０９０番地１          針木東町７番３－２０６号

朝倉戊１０９０番地１          針木東町７番３－２０７号

朝倉戊１０９０番地１          針木東町７番３－２０８号

朝倉戊１０９０番地１          針木東町７番３－３０１号

朝倉戊１０９０番地１          針木東町７番３－３０２号

朝倉戊１０９０番地１          針木東町７番３－３０３号

朝倉戊１０９０番地１          針木東町７番３－３０４号

朝倉戊１０９０番地１          針木東町７番３－３０５号

朝倉戊１０９０番地１          針木東町７番３－３０６号

朝倉戊１０９０番地１          針木東町７番３－３０７号

朝倉戊１０９０番地１          針木東町７番３－３０８号

朝倉戊１０９０番地１          針木東町７番３－４０１号

朝倉戊１０９０番地１          針木東町７番３－４０２号

朝倉戊１０９０番地１          針木東町７番３－４０３号

朝倉戊１０９０番地１          針木東町７番３－４０４号

朝倉戊１０９０番地１          針木東町７番３－４０５号


                3
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１０９０番地１          針木東町７番３－４０６号

朝倉戊１０９０番地１          針木東町７番３－４０７号

朝倉戊１０９０番地１          針木東町７番３－４０８号

朝倉戊１０９０番地１          針木東町７番７－１１号

朝倉戊１０９０番地１          針木東町７番７－１２号

朝倉戊１０９０番地１          針木東町７番７－１３号

朝倉戊１０９０番地１          針木東町７番７－１４号

朝倉戊１０９０番地１          針木東町７番７－２１号

