  高須地区（昭和57年）

住居表示対照表 （旧新）

（昭和57年８月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須３８０番地２          島一丁目３番１２号

高須３８０番地２          島二丁目１番２号

高須３８０番地３          島一丁目３番１０号

高須３８１番地１          島一丁目３番９号

高須３８２番地５，６        島一丁目５番３３号

高須３８２番地１１         島一丁目５番３１号

高須３８２番地１２         島一丁目５番３２号

高須３８２番地１３         島一丁目５番２８号

高須３８２番地１４         島一丁目５番８号

高須３８２番地１４         島一丁目５番３０号

高須３８２番地１７         島一丁目５番３号

高須３８２番地２３         島一丁目５番２２号

高須３８２番地２４         島一丁目５番２３号

高須３８２番地２５         島一丁目５番２４号

高須３８２番地２６         島一丁目５番２５号

高須３８２番地２７         島一丁目５番２６号

高須３８２番地２９         島一丁目５番２１号

高須３８２番地３０         島一丁目５番２０号

高須３８２番地３１         島一丁目５番１８号

高須３８２番地３２         島一丁目５番１７－２０１号

高須３８２番地３２         島一丁目５番１７－２０２号

高須３８２番地３２         島一丁目５番１７－３０１号

高須３８２番地３２         島一丁目５番１７－３０２号

高須３８２番地３２         島一丁目５番１７－３０３号

高須３８２番地３２         島一丁目５番１７－４０１号

高須３８２番地３３         島一丁目５番１７－１０１号

高須３８２番地３３         島一丁目５番１７－１０２号

高須３８２番地３３         島一丁目５番１７－２０３号

高須３８２番地３３         島一丁目５番１７－２０５号

高須３８２番地３３         島一丁目５番１７－３０５号

高須３８２番地３３         島一丁目５番１７－４０２号

高須３８２番地３３         島一丁目５番１７－４０３号

高須３８２番地３３         島一丁目５番１７－４０５号

高須３８２番地３５         島一丁目５番２１号

高須３８６番地１          島一丁目１０番６９号

高須３８６番地イ          島一丁目６番４４号

高須３８７番地           島一丁目６番２７号

高須３８７番地           島一丁目６番２８号

高須３８７番地           島一丁目６番３０－３号


              1
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須３８７番地           島一丁目６番３０－４号

高須３８７番地           島一丁目６番３０－６号

高須３８７番地           島一丁目７番１号

高須３８７番地           島一丁目７番２号

高須３８７番地           島一丁目７番３号

高須３８７番地           島一丁目７番６号

高須３８７番地           島一丁目７番７号

高須３８７番地           島一丁目７番８号

高須３８７番地           島一丁目９番１５号

高須３８７番地           島一丁目９番１６号

高須３８７番地           島一丁目９番１７号

高須３８７番地１          島一丁目６番３０－５号

高須３８７番地１          島一丁目６番３９号

高須３８７番地２          島一丁目６番２６号

高須３８７番地３          島一丁目６番４３号

高須３８７番地６          島一丁目６番３０－７号

高須３８８番地１          島一丁目９番５号

高須３８８番地１          島一丁目９番５１号

高須３８８番地９          島一丁目８番８号

高須３８８番地１０         島一丁目８番６号

高須３８８番地１１         島一丁目８番５号

高須３８８番地１２         島一丁目８番４号

高須３８８番地１３         島一丁目８番３号

高須３８８番地１４         島一丁目８番１号

高須３８８番地１５         島一丁目８番１６号

高須３８８番地１６         島一丁目８番１５号

高須３８８番地１７         島一丁目８番１４号

高須３８８番地１８         島一丁目８番１２号

高須３８８番地１９         島一丁目８番１１号

高須３８８番地２０         島一丁目９番１４号

高須３８８番地２１         島一丁目９番１３号

高須３８８番地２２         島一丁目９番１２号

高須３８８番地２３         島一丁目９番１１号

高須３８８番地２４         島一丁目９番１０号

高須３８８番地２５         島一丁目９番９号

高須３８８番地２６         島一丁目９番７号

高須３８８番地２７         島一丁目９番６号

高須３８８番地２９         島一丁目９番４号

高須３８８番地３０         島一丁目９番５３号


              2
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須３８８番地３１         島一丁目９番５２号

高須３９１番地           島一丁目９番５０号

高須３９１番地３          島一丁目９番５０号

高須３９２番地           島一丁目１０番７５号

高須３９３番地４          島一丁目９番２４号

高須３９３番地５          島一丁目１０番１７号

高須３９５番地１          島一丁目１０番７１号

高須３９５番地４          島一丁目１０番７３号

高須３９６番地           島一丁目１０番６４号

高須３９６番地           島一丁目１０番６８号

高須３９６番地１          島一丁目１０番７０号

高須４０１番地２          島一丁目１０番５７号

高須４０４番地１          島一丁目１０番５５号

高須１３５０番地          島三丁目１２番１０号地先

高須１３５０番地３         島三丁目１２番２号

高須１３５０番地３         島三丁目１２番３号

高須１３５０番地３         島三丁目１２番７号

高須１３５０番地３         島三丁目１２番８号

高須１３５０番地３         島三丁目１２番９号

高須１３５０番地３         島三丁目１２番１１号

高須１３５０番地３         島三丁目１４番４号

高須１３５０番地３         島三丁目１４番５号

高須１３５０番地３         島三丁目１４番６号

高須１３５０番地３         島三丁目１４番７号

高須１３５０番地３         島三丁目１４番９号

高須１３５０番地３         島三丁目１４番１０号

高須１３５０番地３         島三丁目１４番１２号

高須１３５０番地３         島三丁目１４番３９号

高須１３５０番地３         島三丁目１４番４０号

高須１３５０番地３         島三丁目１４番４１号

高須１３５０番地３         高須新町三丁目１０番１０号

高須１３５０番地５         島三丁目１４番４３号

高須１３５０番地６         島三丁目１２番６号

高須１３５０番地６         島三丁目１３番３１号

高須１３５０番地６         島三丁目１３番３２号

高須１３５０番地６         島三丁目１３番３３号

高須１３５０番地６         島三丁目１３番３４号

高須１３５０番地６         島三丁目１３番３５号

高須１３５０番地６         島三丁目１３番３６号


              3
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須１３５０番地６         島三丁目１３番３７号

高須１３５０番地６         島三丁目１３番３９号

高須１３５８番地          島三丁目１４番１５号

高須１３６３番地４         島四丁目１１番４１号

高須１３６３番地４         島四丁目１１番４３号

高須１３６３番地１２        島四丁目９番２４号

高須１３６４番地          高須新町三丁目１１番２９－４号

高須１３６４番地          高須新町三丁目１１番２９－５号

高須１３６４番地          高須新町三丁目１１番３０－２号

高須１３６４番地１         高須新町三丁目１１番２９－２号

高須１３６４番地１         高須新町三丁目１１番２９－３号

高須１３６４番地１         高須新町三丁目１１番３０－３号

高須１３６４番地３         高須新町三丁目１１番３０－２号

高須１３６４番地５         高須新町三丁目１１番３０－４号

高須１３６４番地５         高須新町三丁目１１番３０－５号

高須１３６４番地６         高須新町三丁目１１番３０－１号

高須１３６７番地１１        島四丁目２番２３号

高須１３６９番地２         高須新町三丁目５番１号

高須１３６９番地４         高須新町三丁目２番２５号

高須１３６９番地１４        高須新町三丁目２番３０号

高須１３６９番地１５        高須新町三丁目２番２５号

高須１３６９番地１５        高須新町三丁目２番３０号

高須１３７０番地          高須新町三丁目１０番１０号

高須１３７０番地          高須新町三丁目１０番１４号

高須１３７０番地          高須新町三丁目１０番１７号

高須１３７０番地１         高須新町三丁目１０番１０号

高須１３７０番地１         高須新町三丁目１０番１２号

